id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions,question
cap.workcell.reconciliation,capability,,,,[],Compare persisted expectations with current material state,Register durable world and reconcile desired material state,"Explicit missing, stale, recover, resume or rematerialise differences",Source-inspected; workspace restart reconstruction observed,agent-inference,docs/LIFECYCLE-RECONCILIATION.md,crates/workcell-core/src/world/mod.rs,crates/workcell-core/tests/lifecycle_reconciliation.rs;crates/workcell-workspace/tests/restart_recovery.rs,workcell.html#q2/recovery-journey,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""reconcile""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The top-level reconcile command compares desired material state with a receipt-backed world.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-core/src/world/mod.rs"": ""8ada2c91cf95ac10bb9003740ab11f8cece99a75163da8256faa10c30176ea7c""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.remote-control,capability,,,,[],Use the same material operations on a remote Workcell,Authenticated control service and client transport,Native operation results with distinct transport and authentication failures,Observed real local remote-CLI/service tests; physical remote host unrun,agent-inference,docs/CONTROL-SERVICE-AND-AGENT-HOSTING.md,crates/workcell-control/src/service.rs;crates/workcell-control/src/network.rs,crates/workcell-cli/tests/remote_cli.rs;crates/workcell-control/tests/tcp.rs,workcell.html#q4/deployment,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""status"", ""discover"", ""plan"", ""prepare"", ""observe"", ""expose"", ""collect"", ""release"", ""reconcile"", ""providers"", ""doctor""], ""cli_exposure"": {""kind"": ""composed"", ""reason"": ""Each listed command is routed through the control service only when --endpoint or its environment default selects a remote backend.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-control/src/network.rs"": ""9e093acb560a851a73354189bf01ee7ab008edab3aef12b4618cde363866671e"", ""crates/workcell-control/src/service.rs"": ""3d6100feeda385de10310e2903f149b41998b20298d1c9ecda48c02fb61f09ae""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.placement,capability,,,,[],Choose material location without changing client identity,Multi-Workcell offer and placement seam,Placement provenance and provider-neutral demand continuity,Source-inspected; physical multi-host acceptance unrun,agent-inference,docs/MULTI-WORKCELL-PLACEMENT.md,crates/workcell-placement/src/lib.rs,crates/workcell-placement/tests/multi_workcell.rs,workcell.html#q4/deployment,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""Placement is a library seam; this CLI does not expose a placement-selection leaf command.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-placement/src/lib.rs"": ""da3215691e70358d81e6de4cc690abfc63d25b4e2e74583343e2241e5248b455""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.connectivity,capability,,,,[],Make logical service relationships materially feasible,Fabric relationship planning and Tailscale reference bindings,"Inspectable reachability, path and policy relations",Source-inspected; live Tailscale and private workstation-server path unrun,agent-inference,docs/CONNECTIVITY-FABRIC.md,crates/workcell-fabric/src/lib.rs;crates/workcell-tailscale/src/lib.rs,crates/workcell-tailscale/tests/aikit_gateway_fabric.rs,workcell.html#q3/access,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""Fabric and Tailscale bindings are provider/library capabilities without a dedicated current CLI leaf command.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-fabric/src/lib.rs"": ""d4f68d4f1184b39185218e257eed90052bbc752ad17b81971e8368573fc9d8ce"", ""crates/workcell-tailscale/src/lib.rs"": ""ddb2b8deed2b61f24b73c6c7129786175f98bf808e1ecff26567c4db3b7ed65d""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.candidates,capability,,,,[],Replace a candidate environment while retaining developmental identity,Candidate materialisation adapter using opaque client references,Disposable or retained material bindings related to a stable candidate,Source-inspected; candidate conformance not executed here,agent-inference,docs/CANDIDATE-MATERIALISATION.md,crates/workcell-candidate/src/lib.rs,crates/workcell-candidate/tests/candidate_materialisation.rs,workcell.html#q0/continuity,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""Candidate materialisation is an adapter/library capability without a dedicated current CLI leaf command.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-candidate/src/lib.rs"": ""9288041a634b6d609829228326499b7a3401594304b236ff1e51b9f72c4ed377""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.provider-extension,capability,,,,[],Add material capabilities through a public contract,Client/provider SDK contracts and conformance support,Replaceable provider implementations and attributable failures,Source-inspected; SDK conformance not executed here,agent-inference,crates/workcell-sdk/README.md,crates/workcell-sdk/src/lib.rs,crates/workcell-sdk/tests/sdk_conformance.rs,workcell.html#q3/providers,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""providers""], ""cli_exposure"": {""kind"": ""composed"", ""reason"": ""providers lists the inventory supplied through the extension contract; provider authoring remains a library capability.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-sdk/src/lib.rs"": ""fb968235760e31271ee7f09679adbc58358929ec4144ed5dc00f1a506f99a9d8""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.rich-provider,capability,,,,[],"Compose isolated execution, storage and endpoints for a working world",OpenSandbox lifecycle adapter and material composition,Separate bindings with shared physical provenance and native endpoint access,Protocol adapter source-inspected; fixture conformance is not live provider proof,agent-inference,docs/OPENSANDBOX-SOURCE-INTEGRATION.md;../github-recovery-mirror/mirror/Workcell/issues/43.comments.json,crates/workcell-opensandbox/src/composition.rs;crates/workcell-opensandbox/src/project_world.rs,crates/workcell-opensandbox/tests/opensandbox_conformance.rs,workcell.html#q3/access,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""prepare"", ""observe"", ""expose"", ""collect"", ""release""], ""cli_exposure"": {""kind"": ""composed"", ""reason"": ""These world commands can use rich providers, but they do not select or prove an OpenSandbox-specific provider.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-opensandbox/src/composition.rs"": ""5a945f9c935741508d72da20eda675c19351863fb017780d0689a2f27a3efc13"", ""crates/workcell-opensandbox/src/project_world.rs"": ""377c0c3c0d5b7051c7389f0db244bf637925d7d8a2f56976db5193ac0592a8e1""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.checkpoints,capability,,,,[],Handle provider lifetime separately from durable retention,Observe or renew lease and request reusable material checkpoint,Explicit expiry and provider-local restore reference,Source-inspected OpenSandbox protocol implementation; physical restore unrun,agent-inference,docs/OPENSANDBOX-SOURCE-INTEGRATION.md,crates/workcell-opensandbox/src/lib.rs;crates/workcell-core/src/contract/material.rs,crates/workcell-opensandbox/src/lib.rs;crates/workcell-opensandbox/tests/opensandbox_conformance.rs,workcell.html#q2/recovery-journey,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""gap"", ""reason"": ""The current help has no checkpoint, lease-renewal, or restore leaf command.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""pull:56"", ""suite-change:git-lifecycle-and-product-ground-2026-09-08"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-core/src/contract/material.rs"": ""71d6431c8ac5642e79814af0dae7daa5ffa76fc49b7ee063035e53702c324fb1"", ""crates/workcell-opensandbox/src/lib.rs"": ""786073e8cfb83fa9a1d9e999fee9d3bcc73a6a161dc88e7870221afbb2a8285d""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.credentials,capability,,,,[],Make a credential usable within bounded material access,Secret materialisation and OpenSandbox credential broker adapter,Use-only credential relation with redacted material receipts,Source-inspected; live credential broker acceptance unrun,agent-inference,docs/OPENSANDBOX-SOURCE-INTEGRATION.md,crates/workcell-opensandbox/src/credential.rs;crates/workcell-core/src/secret.rs,crates/workcell-opensandbox/src/credential.rs,workcell.html#q3/access,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""gap"", ""reason"": ""The current help has no credential-materialisation leaf command.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-core/src/secret.rs"": ""d584f1cd980b7bc0318ed51effdb9cb2df86840fec0d4c1288a6287d966adf51"", ""crates/workcell-opensandbox/src/credential.rs"": ""bbd61b0e230169edd460e247839428fe22bbe5e45350722215485e3fc3ef9fcb""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.instance-registry,capability,,,,[],Know which harness processes are materially present and what bounded resource conditions they disclose,"Persist, scan, declare and adopt harness-instance records; observe one bound PID over a bounded interval",A conflict-safe live/stale registry plus an exact-provenance CPU/memory reading with independent unsupported metrics,Observed in native registry/scanner tests and real macOS Codex process usage after actual-executable binding; unsupported metrics remain explicit,agent-inference,README.md;docs/RESOURCE-USAGE.md,crates/workcell-runtime/src/instance_registry.rs;crates/workcell-runtime/src/instance_scan.rs;crates/workcell-runtime/src/instance_projection.rs;crates/workcell-runtime/src/resource_usage.rs;crates/workcell-runtime/src/lib.rs;crates/workcell-cli/src/main.rs,crates/workcell-runtime/src/instance_registry.rs;crates/workcell-runtime/src/instance_scan.rs;crates/workcell-cli/tests/cli.rs,workcell.html#q0/continuity,,,"{""basis"": ""Reconciled against the live HarnessInstance registry and bounded local resource-usage implementation."", ""cli_commands"": [""instances""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The instances command exposes list, show, register, declare, live scan and bounded usage operations.""}, ""maintenance"": {""change_refs"": [""pull:53"", ""pull:54"", ""pull:55"", ""suite-change:git-lifecycle-and-product-ground-2026-09-08"", ""reconcile:workcell-pr-60"", ""workcell:#62"", ""workcell:#65""], ""code_basis"": {""crates/workcell-runtime/src/instance_registry.rs"": ""bea19e93d8d9ebce8e1bda8863a9102ad73975d46f56de7f7a0076b7f7b51213"", ""crates/workcell-runtime/src/instance_scan.rs"": ""d5a978bc5946eb1083af2da11b577e11b252467177836fab73375c5e07e3e396"", ""crates/workcell-runtime/src/instance_projection.rs"": ""a245ea9af0e6fafb72bb05582c167504fe254470d25c9b8981394c85d4325b92"", ""crates/workcell-runtime/src/resource_usage.rs"": ""f9a7e5f89c4fbd1c5647b478a281e509a30255f8797c7939b4159f82b557d825"", ""crates/workcell-runtime/src/lib.rs"": ""0a9bbbf02c8cba26f9ef426c74bb5c771e893ea77d334ef3ae579d6cc9244494"", ""crates/workcell-cli/src/main.rs"": ""2056777851697f29b1c3f0310009bb59bda323d16a29fc96214419c484ac2f20""}, ""updated_at"": ""2026-09-09""}, ""last_reconciled_at"": ""2026-09-09T13:21:33.193543+00:00""}",
cap.workcell.sandbox-reconciliation,capability,,,,[],Keep provider-owned sandboxes aligned with Workcell lease records,List and classify server-side OpenSandbox material; optionally release expired or explicitly selected orphans,An inspectable reconciliation report with idempotent cleanup outcomes,Observed in native reconciliation transport tests; live provider acceptance remains unrun,agent-inference,docs/OPENSANDBOX-SOURCE-INTEGRATION.md,crates/workcell-opensandbox/src/reconcile.rs,crates/workcell-opensandbox/src/reconcile.rs,workcell.html#q2/recovery-journey,,,"{""basis"": ""Reconciled against the server-side sandbox reconciler landed on Workcell main."", ""cli_commands"": [""sandboxes""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The sandboxes reconcile command reports and optionally releases provider-side orphan material.""}, ""maintenance"": {""change_refs"": [""pull:56"", ""suite-change:git-lifecycle-and-product-ground-2026-09-08"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-opensandbox/src/reconcile.rs"": ""cfd4e027dc1d3efc885b03464422b7021453114a900cb6b1b4e504c10c82d3cb""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
